feature,feature_value,shap_value,absolute_shap_value
EXT_SOURCE_2,0.0005576540861324,1.0002583278197423,1.0002583278197423
EXT_SOURCE_3,0.3409064264152384,0.20015335733808934,0.20015335733808934
PREV_NAME_CONTRACT_STATUS_Refused_ratio,0.8235294117647058,0.18430342994573715,0.18430342994573715
BUREAU_CREDIT_TYPE_Microloan_ratio,1.0,0.17690414477581531,0.17690414477581531
INSTALL_INSTALL_LATE_PAYMENT_FLAG_mean,0.4782608695652174,0.11864694388951841,0.11864694388951841
INSTALL_INSTALL_LATE_PAYMENT_FLAG_std,0.5107539184552492,0.1105641053260225,0.1105641053260225
EXT_SOURCE_1,0.5061548086628039,0.0945583836038324,0.0945583836038324
APP_ANNUITY_TO_CREDIT_RATIO,0.0920728097868981,0.0876080782075527,0.0876080782075527
AMT_ANNUITY,33597.0,0.08644121158460738,0.08644121158460738
INSTALL_DAYS_ENTRY_PAYMENT_mean,-380.9130434782609,0.0735005049322754,0.0735005049322754
CODE_GENDER_M,True,0.07304479135790759,0.07304479135790759
ORGANIZATION_TYPE_Construction,True,0.06789362389058316,0.06789362389058316
AMT_GOODS_PRICE,315000.0,0.06714060485738958,0.06714060485738958
INSTALL_AMT_PAYMENT_sum,97163.955,0.06348926680688359,0.06348926680688359
NAME_FAMILY_STATUS_Married,False,0.06229582040812406,0.06229582040812406
